log10_Xlan log10_mej log10_vej luminosity_distance timeshift Ebv log_likelihood log_prior
-3.1301395770313576 -1.5058440996353126 -0.6869098304290804 32.22711873170237 0.0 0.0 -172.9240479677077 -9.718780024086383
-3.314482210480775 -1.9356138561405043 -0.7095918134618877 22.62728978540624 0.0 0.0 -172.75172289076863 -9.365128419797708
-3.1290455491797555 -1.6137197954434832 -0.7040393570367642 31.431310213623526 0.0 0.0 -172.6797657133361 -9.693776266008944
-3.0441683723483033 -1.7965576128870273 -0.7015428829710093 23.39776895248952 0.0 0.0 -172.66050622171997 -9.398612403255324
-3.3545594752381023 -1.9521309170482861 -0.7171938742282205 21.401173681829682 0.0 0.0 -172.62396215304395 -9.309417494817081
-3.0936760152883043 -1.6331213267465676 -0.7088489718570588 29.63333663059835 0.0 0.0 -172.6086062401186 -9.634871694468421
-3.35301416951195 -1.8988711709860562 -0.7155809758181373 20.939967133747682 0.0 0.0 -172.53589157257426 -9.287631365245005
-3.3984882202607185 -1.92929059170566 -0.6957987160311785 19.060924812399016 0.0 0.0 -172.4796973984486 -9.193612147509063
-3.369914534253497 -1.3891606093244326 -0.6919727173952155 36.08936653751102 0.0 0.0 -172.46322086792614 -9.831969995549045
-3.085901958145813 -1.8983836787037554 -0.7083543686139335 19.428533495060172 0.0 0.0 -172.449355846043 -9.212714513566587
-3.2667624692608994 -1.3549664380251216 -0.6934649460264255 37.00792340670062 0.0 0.0 -172.44500475133782 -9.857103765193152
-3.0654879248537092 -1.7695352111426148 -0.7010073500723726 20.690151356255743 0.0 0.0 -172.43040539681488 -9.275629536509024
-3.3589223320370287 -2.0054857041636 -0.7150323009230153 18.11522442034017 0.0 0.0 -172.35420863681182 -9.142724442265182
-3.213608109582509 -1.466037627026728 -0.6974882973396468 38.3700431602018 0.0 0.0 -172.27044850178902 -9.893248758448493
-3.4776419016033984 -1.681345137471221 -0.6911003024967681 26.035600929879877 0.0 0.0 -172.25831934417403 -9.50543659731266
-3.445266585418091 -1.760866634544052 -0.6966672717021889 22.34209831959977 0.0 0.0 -172.21436305622325 -9.352444445149285
-3.2203644224409267 -2.054386965353471 -0.706494393849876 17.28743388167048 0.0 0.0 -172.04407906555056 -9.095951601699234
-3.477951772162151 -1.7048587578753782 -0.7068652389367347 29.200026764914515 0.0 0.0 -171.97220541599856 -9.62014135522837
-3.5066010965060546 -1.521328901546625 -0.7042679349193448 34.49617870587592 0.0 0.0 -171.96309556714846 -9.786820285102102
-3.2856451943308667 -2.0420191669290593 -0.7173579190724464 17.631154255192918 0.0 0.0 -171.89611430017024 -9.115639194697513
-3.489628583387505 -1.4636793187981487 -0.6970951538162535 36.81808877158515 0.0 0.0 -171.8719647243801 -9.851960996461354
-3.1161500883900306 -1.9375911966347106 -0.7116266803830946 19.318499830977284 0.0 0.0 -171.82111093445087 -9.207034906617324
-3.087921778646807 -1.428184672536192 -0.691747695318798 32.12413594255922 0.0 0.0 -171.74381443092744 -9.71557937547188
-3.17086898153007 -1.5187797299707726 -0.7108506830989842 33.467230169714114 0.0 0.0 -171.74205095623887 -9.75653848553612
-3.2961256712841553 -1.8924972024825184 -0.6924682537207583 20.949946798685716 0.0 0.0 -171.73342866765327 -9.288107836270605
-3.2436090340183137 -1.969360145291176 -0.7104860925421064 20.779465948992257 0.0 0.0 -171.68117252869996 -9.279937014447729
-3.3152877554749063 -1.4367991832945295 -0.7064546075314555 39.98406652973218 0.0 0.0 -171.67060746997902 -9.934452767347974
-3.113765069525006 -1.4167210275789621 -0.6889474956642925 35.40844139923181 0.0 0.0 -171.6438492138757 -9.812921978666544
-3.08239479181211 -1.5128045018989393 -0.7016791250958068 29.2881701175518 0.0 0.0 -171.61977942106498 -9.62315541358763
-3.5089466531035 -1.7469427961447321 -0.7063487563454574 25.907052308814418 0.0 0.0 -171.5919143348666 -9.500486950904829
-3.3005033663597043 -1.588081618572359 -0.702378382562737 34.041765971307626 0.0 0.0 -171.57546655917383 -9.77355991100549
-3.189134481764005 -1.6673077645709862 -0.7007424666468904 23.135274724135616 0.0 0.0 -171.54463485007196 -9.387330226463911
-3.227537147137756 -1.8066084859470242 -0.6937508339707934 20.0200143484938 0.0 0.0 -171.52540927838788 -9.242704219942691
-3.3515301969374987 -1.727515868857004 -0.7114412719969159 29.09279950595884 0.0 0.0 -171.51694074935537 -9.616462433249325
-3.117587044656931 -1.792180352686561 -0.7069318157451308 24.913092634728507 0.0 0.0 -171.4969654130435 -9.461365203253273
-3.115313008754071 -1.5702616237549698 -0.7015117776409856 26.66062911802161 0.0 0.0 -171.46526471770846 -9.529159641645297
-3.3638103698723008 -1.9975451442812324 -0.705804149617669 17.51216483539871 0.0 0.0 -171.4423108675791 -9.108867502235366
-3.0606299998920807 -1.612197284012927 -0.6927232183922418 27.91897982713005 0.0 0.0 -171.43726282147 -9.575278467431588
-3.4192533793761655 -1.8329818906203479 -0.7130491123765454 23.317594817189693 0.0 0.0 -171.42625596815105 -9.39517994731166
-3.1492823217006913 -1.9080640254459906 -0.6985415358779932 18.36853762035252 0.0 0.0 -171.42357330247464 -9.156611018457433
-3.3801756693369027 -1.829317104894053 -0.7125334533349963 25.620089305835563 0.0 0.0 -171.42029836850952 -9.489348511596337
-3.349931603781412 -1.7630764401764596 -0.7126097132199691 23.460350132620956 0.0 0.0 -171.4010835518747 -9.401283497126
