KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
32.63432417748885 -2.206551252375954 -1.0163386999638073 1.5462119143670876 40.0 0.0 0.1 0.0 -253.24396010094264 -6.397231882329206
34.47258557697905 -2.35542688399411 -1.0890218125204905 1.3918895087059988 40.0 0.0 0.1 0.0 -253.15662495245127 -6.413019589986228
35.34011619380806 -2.2603299884773445 -1.0385618169800437 1.4675451936570219 40.0 0.0 0.1 0.0 -253.1244902817176 -6.402269551524251
35.05554973545773 -2.346535131923282 -1.0804124323570539 1.3816347339531285 40.0 0.0 0.1 0.0 -253.0853328406831 -6.414928435201625
33.97228279914091 -2.2702538873628426 -1.0736818195642175 1.3678211380758463 40.0 0.0 0.1 0.0 -253.05715015219806 -6.417672138478832
34.40436171723915 -2.329145687779326 -1.0633353241011578 1.410770609408603 40.0 0.0 0.1 0.0 -253.01951398779175 -6.409788794895393
34.653992148714046 -2.3127964029013692 -1.0903228884787417 1.4132288596648057 40.0 0.0 0.1 0.0 -253.0194701210625 -6.40939511832425
35.70193613660769 -2.332169537342071 -1.078566161283112 1.414834233842993 40.0 0.0 0.1 0.0 -252.94613778602297 -6.409141370087833
34.375618922722694 -2.233437994011448 -1.0434169038002101 1.4445031326189264 40.0 0.0 0.1 0.0 -252.9295264564655 -6.404925931404627
33.577657018579885 -2.2551113089813546 -1.0392943885246668 1.4065611575512713 40.0 0.0 0.1 0.0 -252.92713093436961 -6.410477319743735
34.20286662202872 -2.301208753906026 -1.0763205240993758 1.4516130965330762 40.0 0.0 0.1 0.0 -252.91984727980432 -6.404048854693015
34.739859189632924 -2.2539739993275045 -1.0237594261282938 1.5105711986125814 40.0 0.0 0.1 0.0 -252.8947955211613 -6.398744285610651
33.75997074777622 -2.3126761874975816 -1.0970488690724545 1.3706297533008176 40.0 0.0 0.1 0.0 -252.88735705692736 -6.417098208831219
33.4603425884911 -2.3049746770771757 -1.0922581875578148 1.3958038343628272 40.0 0.0 0.1 0.0 -252.79425463825075 -6.412319629674865
34.88342007318552 -2.246270639631996 -1.0518366343304342 1.4058267600767496 40.0 0.0 0.1 0.0 -252.75653997269708 -6.4105993070130145
32.366390317438004 -2.2501953393074414 -1.0584486980204593 1.4313546768864314 40.0 0.0 0.1 0.0 -252.7562504405599 -6.406683312086119
34.742914583639156 -2.3541571271631536 -1.0954610082672858 1.3924912730166799 40.0 0.0 0.1 0.0 -252.7548559903258 -6.4129109536717515
34.18459320272426 -2.2566000097469443 -1.0218574286003494 1.4727402359831439 40.0 0.0 0.1 0.0 -252.71382623935347 -6.401744877513564
34.59849010904388 -2.2365312914780526 -1.0295156908809429 1.50692420564114 40.0 0.0 0.1 0.0 -252.69434746791603 -6.398970867617796
34.074313450125324 -2.337757854581197 -1.1009738002850793 1.362723882684941 40.0 0.0 0.1 0.0 -252.69034857926945 -6.418734752143241
33.84762713821533 -2.3157942686308193 -1.0559444720049036 1.4253999505262591 40.0 0.0 0.1 0.0 -252.68611090367997 -6.407537161643103
33.83664886607525 -2.3019886686866977 -1.0431081464087741 1.4874964980011243 40.0 0.0 0.1 0.0 -252.6621733698473 -6.400403105711148
34.766682715735314 -2.3124414035882666 -1.054603312137503 1.4059322170143531 40.0 0.0 0.1 0.0 -252.62452721733447 -6.410581755983948
34.072309010873106 -2.2592759610145907 -1.0204668048885543 1.484696198835203 40.0 0.0 0.1 0.0 -252.60468934458657 -6.40064085997471
32.69605850143447 -2.2709957824061875 -1.054583302586252 1.5258480474058012 40.0 0.0 0.1 0.0 -252.59539038247445 -6.3979401694599805
35.60786555206806 -2.2673287095735715 -1.0539793026038466 1.4273422195931755 40.0 0.0 0.1 0.0 -252.5710246323904 -6.4072546820895315
33.84849784291998 -2.308597659546599 -1.0518179473633935 1.4820823962726686 40.0 0.0 0.1 0.0 -252.54615550761739 -6.400869908429316
33.854189523597974 -2.316678289854609 -1.0580980201050048 1.4636276349412078 40.0 0.0 0.1 0.0 -252.519334999624 -6.402683245605136
33.183306037643455 -2.22025996044522 -1.0312464286497702 1.4714076333660615 40.0 0.0 0.1 0.0 -252.49933158333752 -6.401876864316183
32.483943435450094 -2.276490282538795 -1.051638513940159 1.5334221693388341 40.0 0.0 0.1 0.0 -252.49304095996823 -6.397628231693467
32.91296540579128 -2.3192432946379755 -1.0757902340344705 1.4175441546301286 40.0 0.0 0.1 0.0 -252.48772527587238 -6.408719026221461
32.739572635121874 -2.247864423351198 -1.0504304646454563 1.5399021371670283 40.0 0.0 0.1 0.0 -252.4537456858352 -6.397406956626574
33.05396027632197 -2.2881470522487386 -1.0520024363126872 1.534022617629131 40.0 0.0 0.1 0.0 -252.44651982169563 -6.397605960508251
