log10_mej_dyn v_ej_dyn Ye_dyn log10_mej_wind v_ej_wind Ye_wind inclination_EM luminosity_distance timeshift em_syserr redshift Ebv log_likelihood log_prior
-1.5275462902739398 0.2320943587141959 0.3096292653133789 -0.975033347758901 0.0506000193672523 0.23417773088543214 0.3571024576895547 72.42602615531297 0.0 1.0 0.009727 0.0 -163.07436246012944 3.014591135442531
-1.4502875851560346 0.232447622563198 0.3248691757178308 -1.1963522791987797 0.05289424598445588 0.24772360929743395 0.3493728859650598 58.00831532375406 0.0 1.0 0.009727 0.0 -163.05271690490983 3.2365704795998598
-1.3327374025845338 0.20085287010148187 0.33452772828709904 -0.886135474222951 0.05148702254584235 0.24731958693849754 0.414763826825143 77.53372224191423 0.0 1.0 0.009727 0.0 -163.004770987954 2.946443880099367
-1.4294110318892064 0.2441094766105069 0.3344593676745883 -1.0882419288290621 0.05185148265587724 0.240326872191706 0.40851462652395876 60.27249523803836 0.0 1.0 0.009727 0.0 -162.86368035240534 3.19828097988694
-1.3194397597608434 0.24978936450390157 0.31730554260746213 -1.1464467988038272 0.051617876763454446 0.22217400997185782 0.342664213110076 61.97383344235094 0.0 1.0 0.009727 0.0 -162.85217675853818 3.1704445928128395
-1.3447274404426128 0.21489175081913953 0.3101376997441979 -1.129719920936815 0.05367985579092772 0.24668717722379857 0.4182064432104788 62.885999870947664 0.0 1.0 0.009727 0.0 -162.84006545747104 3.1558332861571197
-1.4030147714830827 0.2189391646606591 0.3085693222269873 -1.1407971718555534 0.05524637214797022 0.2435944481915418 0.3989083433329292 67.77473046289572 0.0 1.0 0.009727 0.0 -162.73902772924464 3.0809674290841684
-1.315870314195978 0.22771941051729128 0.3060101133535804 -0.8982387407738688 0.05260432708613125 0.22606754217364755 0.41767124209821765 74.02183162332123 0.0 1.0 0.009727 0.0 -162.71745581480153 2.9927967758905227
-1.3639412080001982 0.22609659031716461 0.29551337165494757 -1.1836324662580113 0.05450138643894656 0.2424761801253409 0.34310072018300475 67.88129401956265 0.0 1.0 0.009727 0.0 -162.7070167698254 3.0793963439960894
-1.4412754751916965 0.25150329837272756 0.3050203698700703 -1.211919069232489 0.05007643416075082 0.2425236371268926 0.3548488675864338 69.72076812025533 0.0 1.0 0.009727 0.0 -162.69635923452012 3.0526586097145545
-1.3846780086050876 0.18120422676101494 0.33526871573617856 -0.9463162482497816 0.05026693547063315 0.2672278232952433 0.34180380225649776 77.32616989201478 0.0 1.0 0.009727 0.0 -162.68576525559448 2.949124399520046
-1.623302600378024 0.22450102990551057 0.3405542113208618 -1.199339212068046 0.051863090169727975 0.24176299044949243 0.3455753210861777 56.13589467763644 0.0 1.0 0.009727 0.0 -162.6503797512095 3.2693814057728305
-1.406357946757095 0.1841977848609203 0.31186260780326197 -0.9577831634657044 0.05035028442592869 0.2762652884396837 0.41970080227902545 75.14533480265955 0.0 1.0 0.009727 0.0 -162.61877429221835 2.977732811723274
