KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
26.195414228942646 -2.1576795752586504 -0.9971294138505837 1.5487732814584574 38.26684480670968 0.0 0.25 0.0 -176.39650494957584 -11.868658698119743
37.92457739133046 -2.187114809506989 -0.9882048300989887 1.1676892823509673 42.511406396280414 0.0 0.25 0.0 -176.38318559597778 -12.057153097610296
35.928229108004494 -2.2611433139730117 -1.0694055695561944 1.25947079490974 36.708875873097305 0.0 0.25 0.0 -176.34775769291352 -11.876116386324881
31.67706483267113 -2.2374419856829135 -0.9830174405060257 1.2950133525301764 42.889298453068704 0.0 0.25 0.0 -176.2617502984382 -12.020974840993532
32.0861612612323 -2.2215738892275327 -1.0662387039380872 1.267771341845763 37.16850453727513 0.0 0.25 0.0 -176.19301037697193 -11.885926480891555
44.623723802492336 -2.3186443420083505 -1.074755964821757 0.9435462853696518 42.99651482094387 0.0 0.25 0.0 -176.19296861865172 -12.196111306845246
26.96366067991536 -2.1397439496430213 -0.9862606125152888 1.5685344374002022 37.09604321854616 0.0 0.25 0.0 -176.1734140473561 -11.837345191025351
35.886393674630895 -2.2249847392558637 -0.9649570019353355 1.2493199822194687 42.13777908044067 0.0 0.25 0.0 -176.15741810806534 -12.01736592077021
37.65675891308133 -2.269724176958205 -1.0585969663881116 1.2228316091077345 37.832129354736445 0.0 0.25 0.0 -176.15175649851207 -11.918793408543388
34.1570873535465 -2.188259429233698 -1.0038754039705808 1.2050152327161283 42.87382136466238 0.0 0.25 0.0 -176.14649809055948 -12.0505389017633
40.43595484966089 -2.258149987215422 -1.018649103516033 1.1457079299526367 40.805238778505476 0.0 0.25 0.0 -176.10283487311503 -12.025852672709318
28.325270499485498 -2.1720856522181444 -1.0356566404591878 1.4964452026100656 36.560165919658495 0.0 0.25 0.0 -176.04517503785834 -11.825558200918598
37.8908768020233 -2.202515521824002 -1.0094954501040165 1.2176764674422376 41.06140741191055 0.0 0.25 0.0 -175.97109909680321 -12.002588319016517
29.83975987286872 -2.229281850050109 -1.0092448480755145 1.5502604346972504 36.88270826467899 0.0 0.25 0.0 -175.97102736354617 -11.831786027572377
28.708143420390893 -2.142224972389796 -1.0074747861954227 1.4932029659981796 36.86968193012486 0.0 0.25 0.0 -175.93114014526444 -11.834235296676372
