log10_Xlan log10_mej log10_vej luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-3.3158262552106805 -1.5309009085867538 -0.9967669626602305 38.40211206426972 0.0 1.0 0.0 -231.86143890386043 -6.359765563278016
-3.279329494727559 -1.4604290666668107 -0.9717226325084405 38.80631468886792 0.0 1.0 0.0 -231.77131518350615 -6.370236086623201
-3.5190930010535464 -1.4052088803902136 -1.005057184248463 39.71999298619438 0.0 1.0 0.0 -231.7107236564246 -6.393507766118927
-3.536643055035678 -1.5264188975666295 -1.0268937764971033 38.69315110156531 0.0 1.0 0.0 -231.69239313924675 -6.367315713777389
-3.430975438825782 -1.5831202278328047 -0.9540155901627513 38.09781366035274 0.0 1.0 0.0 -231.65759260777966 -6.351809999766586
-3.536054101765237 -1.6312936339713064 -0.964668039175112 38.057030890452246 0.0 1.0 0.0 -231.65013590687744 -6.350738951062077
-3.64224122587994 -1.42217161106021 -0.9937076908929832 39.863327977346096 0.0 1.0 0.0 -231.60599837251365 -6.397109906477038
-3.3625495310618225 -1.5109338294482058 -0.9704208588842723 40.084577403467215 0.0 1.0 0.0 -231.59749016066783 -6.402644760452038
-3.4340606978402635 -1.4316158596829776 -0.9633265684959949 39.06267412878897 0.0 1.0 0.0 -231.58797810007857 -6.376820488706862
-3.6717847872672342 -1.4379621029416887 -1.0086422612348818 39.20623637301722 0.0 1.0 0.0 -231.5657899205626 -6.380488928814341
-3.4591170903070854 -1.5685421334047964 -0.9517118085419104 38.34926210518255 0.0 1.0 0.0 -231.5254704292598 -6.3583883900869935
-3.4512220373968816 -1.5383308344874993 -1.0211651994323034 38.25910250358255 0.0 1.0 0.0 -231.451004592033 -6.356034609434286
-3.5891992958519925 -1.4595984100926875 -1.0142550639040715 40.591948060405045 0.0 1.0 0.0 -231.43418254994145 -6.41522282682679
-3.4134152523093713 -1.460789568811875 -0.9783481091618877 41.73730512597936 0.0 1.0 0.0 -231.42870310843983 -6.443048439742924
-3.5389929045618738 -1.5438031602734403 -0.9548637929103522 39.451917024737206 0.0 1.0 0.0 -231.3795530945427 -6.386735743417369
-3.4599606417238586 -1.4965228776965795 -0.9656812945070932 41.139611972101925 0.0 1.0 0.0 -231.3650268309251 -6.428624555814885
-3.7133783604352493 -1.495101610033485 -1.0090959421902577 39.684387727145015 0.0 1.0 0.0 -231.33214009495816 -6.392610957627611
-3.4435189102746815 -1.5084515740542703 -0.9980550400006972 40.59536108508068 0.0 1.0 0.0 -231.2234190102834 -6.415306904614651
-3.6831036749958397 -1.4359691168855218 -0.9913904259071775 38.843519265500056 0.0 1.0 0.0 -231.19482720847537 -6.371194352148946
-3.3396388091071803 -1.5063427439014951 -1.009099901629993 38.32806281072293 0.0 1.0 0.0 -231.1874120553955 -6.357835441871259
-3.6192287728408825 -1.4711879673604975 -1.007992915661747 40.881054790738965 0.0 1.0 0.0 -231.186279687554 -6.422319851207554
-3.4038586724097977 -1.4287402092707469 -0.9833319804795868 41.311840074996994 0.0 1.0 0.0 -231.16026855730473 -6.432802247028607
-3.6710272375438073 -1.5187997395609467 -1.0286153072609037 38.15592965159983 0.0 1.0 0.0 -231.1487462321268 -6.353334279099647
-3.5095977613178446 -1.5743562755554565 -0.9636277539340465 39.36006197659537 0.0 1.0 0.0 -231.13745386125817 -6.384404750314615
-3.614923175401361 -1.5874831332968413 -0.9752929381912548 39.34806113149488 0.0 1.0 0.0 -231.1171958119768 -6.38409980478372
-3.49258527492272 -1.534198508730992 -1.0158836963663256 39.06095685713519 0.0 1.0 0.0 -231.11719443044245 -6.376776525782139
-3.672048521367172 -1.5256976946603822 -1.0149909560807195 39.26179115174015 0.0 1.0 0.0 -231.11691565000623 -6.381904914146398
-3.5311128771649205 -1.4899278045948847 -1.0011988576530126 41.300655770009804 0.0 1.0 0.0 -231.08480281403524 -6.43253148157258
-3.342684300061965 -1.4691938587813889 -0.9667834883480718 39.721361004558354 0.0 1.0 0.0 -231.0792589857063 -6.393542207081861
-3.399682507413771 -1.4288858383029766 -0.9668055554089485 38.22818834087615 0.0 1.0 0.0 -231.06372394305154 -6.355226261693153
-3.459616469683784 -1.4952186284322457 -0.9827658280099247 41.52220213018326 0.0 1.0 0.0 -231.06127006776785 -6.437881378791873
-3.6005088155120193 -1.4807523752362233 -0.9977179778001674 41.54608147856978 0.0 1.0 0.0 -231.04878640232164 -6.438456311798959
-3.347639915201297 -1.466408315468299 -0.9968141412416309 39.96895970233622 0.0 1.0 0.0 -231.0430425267113 -6.399756248945889
-3.5482928988423224 -1.5393700905246677 -0.9538851914509008 39.20781729080304 0.0 1.0 0.0 -231.0237760178098 -6.380529251121686
-3.6717427450281868 -1.4563598198925924 -0.9892588810660519 40.92067774474518 0.0 1.0 0.0 -231.0117228750018 -6.423288607146503
-3.546322936263068 -1.581575363829216 -0.9754827712116035 39.547785423177345 0.0 1.0 0.0 -231.00653364957816 -6.389162801812017
-3.5197888856054957 -1.5288433983124774 -0.9939902001786967 40.70332812567982 0.0 1.0 0.0 -231.001340265101 -6.417962964758296
-3.473495112933567 -1.57695657145688 -0.9695142522409738 39.28690754512712 0.0 1.0 0.0 -230.9828812050137 -6.382544425549124
-3.459585301190873 -1.5642683682643481 -0.9839206275228319 39.59552795038031 0.0 1.0 0.0 -230.9682482341924 -6.390369284860529
