log10_mej_dyn v_ej_dyn Ye_dyn log10_mej_wind v_ej_wind Ye_wind inclination_EM luminosity_distance em_syserr timeshift redshift Ebv log_likelihood log_prior
-1.3915548259012651 0.19560473641563988 0.3495579310968983 -0.9056437016243282 0.05036091357533754 0.31806780120440437 0.5749012214110331 78.28957707107496 0.6207725661226471 0.0 0.009727 0.0 -124.23307014687492 -0.5431841433514073
-1.3408507469343338 0.18992029213187145 0.3414072901765075 -0.905893302405685 0.050307017401198494 0.31173462916305744 0.8542979319757885 73.635318098613 0.5786706532206389 0.0 0.009727 0.0 -124.23109314123484 -0.4116631596442165
-1.3679337907030247 0.19090422695091464 0.3455166377534499 -0.9018973297008237 0.05003720431148108 0.32103181263842934 0.8247626961579966 74.0006391616694 0.4909235999277919 0.0 0.009727 0.0 -124.19729271645632 -0.25216713301551996
-1.3135691882323894 0.19516447266599984 0.34498925864208246 -0.919136033552812 0.05047040065576637 0.3243770908778398 0.6216610343585383 77.4642823866734 0.6293212009736321 0.0 0.009727 0.0 -124.14445315220537 -0.546263625235607
-1.3601545708019123 0.19638965561071378 0.342082078451768 -0.8898565037736315 0.051331915028726395 0.3198824301826244 0.8218744303739376 73.23204848040282 0.5120654290363003 0.0 0.009727 0.0 -124.09761947547771 -0.2838904416867819
-1.3302214861135533 0.1989485137041181 0.33286214231958655 -0.896098735589774 0.050720737319041205 0.3216410232482681 0.6690949963536287 77.90726444709689 0.5394397481418586 0.0 0.009727 0.0 -124.07189061681736 -0.39785518736292447
-1.3140221780955372 0.19735456127454465 0.3443545911854113 -0.9083915156097928 0.050305002816878816 0.30779788008769804 0.9264001037703914 72.8096972579997 0.5893058960435527 0.0 0.009727 0.0 -124.05963414388563 -0.4185994351867601
-1.3256986561975908 0.19435429191426357 0.3432647869574101 -0.9155561971053534 0.0504673607004094 0.3252151764949136 0.8557115274648992 76.04103434617255 0.6391558327826368 0.0 0.009727 0.0 -124.04014421575641 -0.543226302405087
-1.373004571229839 0.19614760930367003 0.3410078283390919 -0.9094235372833752 0.0503372967959546 0.32309887569556645 0.7860158767231038 70.2267760299181 0.6156868900303708 0.0 0.009727 0.0 -124.02635753632444 -0.42627308994084134
-1.3255732566594045 0.19716821880167856 0.3495120698919951 -0.8979610994988048 0.050664281450804045 0.3160457860029669 0.5311196507997784 82.10296827070509 0.5747362802996717 0.0 0.009727 0.0 -123.96028295551186 -0.5136903505719076
-1.3812570606929953 0.19926791445138226 0.3417604042296756 -0.9232787789309895 0.05013319586399201 0.3251055633406882 0.866277710548175 72.59907311026667 0.492793712985379 0.0 0.009727 0.0 -123.94992275672855 -0.2368476968733424
-1.3830458998968154 0.19657036313646242 0.3436394245625267 -0.8900953614798137 0.0508120598714647 0.3208572311265758 0.899316536979926 70.05374635385013 0.573088675741045 0.0 0.009727 0.0 -123.92968235307815 -0.3521081020022303
-1.34447460959867 0.19701227040408514 0.33784631678673643 -0.8978933857620868 0.050728977922483785 0.32031039675683487 0.5920791309352972 80.73039152544622 0.4991819345600753 0.0 0.009727 0.0 -123.92823709201926 -0.35589061863026816
-1.3044022626672602 0.19555210162611794 0.3481743108815504 -0.9285434058235591 0.05024722338321362 0.32019894925107645 0.9201352925842002 68.87063212928336 0.6152056493732725 0.0 0.009727 0.0 -123.90655008247127 -0.40599133704025725
-1.3335350495854785 0.19452019955657301 0.34634211206946874 -0.9365357005417141 0.050033162962740366 0.32093476077729244 0.554962085727071 80.93665189751171 0.5928807254359754 0.0 0.009727 0.0 -123.88088770718912 -0.5304649023778296
-1.328023213272215 0.19644198131716728 0.34733668794106076 -0.9438952507826326 0.050213838615939484 0.3238727974315038 0.5330247730950222 75.53651274785518 0.5442892876176152 0.0 0.009727 0.0 -123.87847717082889 -0.3759019239301805
-1.324713984962802 0.19434674718665412 0.34428943967335957 -0.891316871509658 0.051324301133108235 0.3226363277992339 0.4399092806077255 79.36356160088759 0.5056507363417776 0.0 0.009727 0.0 -123.86853955745651 -0.35169041539140866
-1.3498973043753417 0.19280976455149526 0.3489106489403435 -0.9311367826735049 0.050717582482323616 0.3222515715111806 0.644125477155353 76.91615313459796 0.575072659033871 0.0 0.009727 0.0 -123.86074684422732 -0.4490171923737033
-1.3061615431138973 0.19475948455356087 0.3467477623529435 -0.9354942761947584 0.0508693198566518 0.32136153353220964 0.41654607402829263 79.11548844344806 0.5939123104561386 0.0 0.009727 0.0 -123.8467198735085 -0.5094452347664077
-1.3591664214176544 0.19983144523068608 0.3444053742519515 -0.8998937632973889 0.05029130721333337 0.31457364407679783 0.7074579197536327 75.57489074004717 0.5219441590764847 0.0 0.009727 0.0 -123.84383270468925 -0.3344895899631598
-1.3322981169988406 0.196154675184257 0.34747785566617084 -0.9052616209651776 0.050354551063365165 0.3197037940760387 0.7917649227982584 77.50679794785235 0.6272092423735882 0.0 0.009727 0.0 -123.79404994953428 -0.5434507406266746
-1.3548369562849458 0.19356924134831055 0.34992605706611724 -0.9194136277565952 0.050048839580170965 0.31840254000602075 0.69756269865769 79.4196063957786 0.5695604999322676 0.0 0.009727 0.0 -123.76218707572124 -0.4714151681743879
