log10_Xlan log10_mej log10_vej luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-2.986521024522145 -1.3044552767942559 -0.6951345757304785 46.49829282587555 0.0 1.0 0.0 -47.64287772662539 -6.551068702020505
-3.4251593186375917 -1.5786700800916056 -0.7047845181917685 43.34136633825319 0.0 1.0 0.0 -47.54430779809797 -6.480760625167065
-5.128577022348315 -1.5404941612741019 -0.665495339965738 43.22801453076592 0.0 1.0 0.0 -47.53789283591233 -6.478141873106495
-5.42428531984142 -1.6343646666268645 -0.6824518700316884 40.57409272178412 0.0 1.0 0.0 -47.499979292798805 -6.4147828561509534
-3.116879569576807 -1.0638906405395772 -0.6742052679193589 40.25834213719114 0.0 1.0 0.0 -47.40520402461431 -6.406970343979626
-2.775238121132708 -0.9325958129039558 -0.6862671420807094 47.33380164642702 0.0 1.0 0.0 -47.404545777014185 -6.568877766345985
-2.984192036405954 -1.370214654804522 -0.705727171666487 41.4299321195321 0.0 1.0 0.0 -47.28214472499211 -6.4356567211735936
-4.232373388437808 -1.8323376955962374 -0.6960509351367021 43.45359505076358 0.0 1.0 0.0 -47.239806078062756 -6.4833466917603495
-2.930446261107255 -1.3333920165029864 -0.6938646775743844 42.46048968840013 0.0 1.0 0.0 -47.232902952270614 -6.460227092666315
-4.24219019770595 -1.5916305560282522 -0.7088013444639065 44.6032758479425 0.0 1.0 0.0 -47.10972623186383 -6.509460409357352
-3.924075083606163 -1.5116108022721706 -0.6551133274658552 43.7121349018838 0.0 1.0 0.0 -47.01589626335642 -6.4892788536189165
-3.346610981121408 -1.211174986789859 -0.6640525505287003 43.38856467910074 0.0 1.0 0.0 -46.97230259449763 -6.481849023254166
-4.407344647229485 -1.557139592269206 -0.6517313348804399 42.05931226706522 0.0 1.0 0.0 -46.94242381094117 -6.450733922429272
-3.352148125710177 -1.2042962669245942 -0.7021807932088504 45.58519010922319 0.0 1.0 0.0 -46.88988397453674 -6.531235988985115
-5.150580297446879 -1.7268478555000364 -0.6988794599485939 42.79709811744406 0.0 1.0 0.0 -46.87332010414654 -6.468123402818042
-2.91029634044307 -0.9762400539114795 -0.6983942923737283 47.353618869734255 0.0 1.0 0.0 -46.84567538903284 -6.569296348317879
-4.0353665379122114 -1.461073953495656 -0.6571797159885737 38.431905243509604 0.0 1.0 0.0 -46.75965650277115 -6.360541083855411
-5.069637476601571 -1.7808949890667942 -0.6976195618400296 42.642137229259184 0.0 1.0 0.0 -46.65788973656071 -6.464496004762083
-3.4886046915963913 -1.2801082670296169 -0.6786644500653591 40.154819953006196 0.0 1.0 0.0 -46.6344164746633 -6.404395585353433
-3.0370393915213203 -1.0835466091595087 -0.6727036154305197 39.5638357256778 0.0 1.0 0.0 -46.617510096087486 -6.389568565276033
-4.917655603697225 -1.7261630078331653 -0.6949996372600402 46.2776959395482 0.0 1.0 0.0 -46.58505518004881 -6.54631321937917
-4.282165852568243 -1.7789077641825988 -0.7092942082140183 41.882093077947026 0.0 1.0 0.0 -46.564608302341085 -6.4465114662601115
-2.7886849053525484 -1.1643095572944024 -0.6852981053708056 42.23218620779231 0.0 1.0 0.0 -46.55534375978437 -6.45483574019826
-3.552974166778098 -1.6411546914017037 -0.6901506942312354 41.868866078532136 0.0 1.0 0.0 -46.53963561380227 -6.446195601232223
-3.0845285435171776 -1.047520925882084 -0.6707787253091828 45.949548764640014 0.0 1.0 0.0 -46.53860301981946 -6.539197132138247
-4.292999400183848 -1.6910017812089562 -0.6557714059231055 40.254713294936266 0.0 1.0 0.0 -46.52669286197513 -6.406880201027335
-4.334405498773478 -1.695507520512602 -0.6722843094013973 47.37657489646564 0.0 1.0 0.0 -46.50477717819512 -6.5697810095703915
-5.1941355514135665 -1.7660063295192017 -0.6675599497201303 38.94504247899846 0.0 1.0 0.0 -46.500271951127914 -6.373804588637814
-3.5304811873620325 -1.5987474999468194 -0.7255171915058707 38.95622718326585 0.0 1.0 0.0 -46.48592966362273 -6.37409173939653
-3.2582308209130693 -1.2585938458568715 -0.7106952415034871 45.49430599037979 0.0 1.0 0.0 -46.47689658534471 -6.5292402785804615
-4.423212271338044 -1.81161969632213 -0.7042968900887134 42.145268739189746 0.0 1.0 0.0 -46.450026989142835 -6.452775533490194
-3.2927848818294816 -1.223676065008048 -0.6888602851746966 39.92789017316441 0.0 1.0 0.0 -46.43471517605318 -6.398728185064696
-3.0604890675599448 -1.2706494509649513 -0.7130072977828044 41.031394134019926 0.0 1.0 0.0 -46.42342780919621 -6.4259905878065515
-4.013537362980103 -1.775024073949528 -0.6750532406591925 41.4548640252569 0.0 1.0 0.0 -46.40792063827413 -6.436258325029462
-3.224471244874345 -1.4258803849440844 -0.7172623083793654 41.7687097507578 0.0 1.0 0.0 -46.39251857659442 -6.443800592179017
-3.1585628431228896 -1.3871348095074456 -0.6907609252552864 44.95993102048374 0.0 1.0 0.0 -46.37726466994105 -6.517424774865528
-5.313026138620469 -1.7514845898796803 -0.6786545110840567 41.311552372007 0.0 1.0 0.0 -46.373015839699505 -6.432795282826788
-3.787150176741421 -1.7144478426245695 -0.6723771515439645 39.83200293354304 0.0 1.0 0.0 -46.35503091991913 -6.396323786510956
-3.986810905585328 -1.73315524547592 -0.6983834431127856 44.67495675973734 0.0 1.0 0.0 -46.337957847452685 -6.511066196683197
-2.8073203005103817 -0.9879841880239786 -0.6890632682490831 40.96926532399854 0.0 1.0 0.0 -46.336738210996984 -6.424475262873303
-3.255490360356334 -1.0289481699700809 -0.6838553637922915 47.098318507724144 0.0 1.0 0.0 -46.31791360803801 -6.563890403435327
-2.9980037491124376 -1.094449741693793 -0.6942447862297085 38.60306397609432 0.0 1.0 0.0 -46.3108079387534 -6.3649847544627525
-4.706847722153797 -1.5916142965638693 -0.6568579874882856 44.61591250298735 0.0 1.0 0.0 -46.29695520935417 -6.509743681495621
-3.7014598143224617 -1.3177212196374213 -0.6971019088864296 47.53253722034856 0.0 1.0 0.0 -46.263746447061315 -6.573067574174992
-3.590162190284154 -1.6984125709573146 -0.6978623030675657 40.26129670900796 0.0 1.0 0.0 -46.23923301183045 -6.407043731586936
-4.484640954658318 -1.4906649998763273 -0.6916081021094309 47.455298828003585 0.0 1.0 0.0 -46.232838005280776 -6.571441294167331
-4.2508255096616425 -1.664529982039853 -0.7066524351332026 38.15727518774525 0.0 1.0 0.0 -46.23111192534526 -6.353369542620511
-3.160718949019622 -1.1038942734928803 -0.7049620846718079 47.47224454960652 0.0 1.0 0.0 -46.21017135122676 -6.57179831850779
-4.493944973957339 -1.7275426484183392 -0.6573138798838474 40.08185655047925 0.0 1.0 0.0 -46.19713678779175 -6.402576880346741
-4.832837789137387 -1.7432318547355186 -0.689573283838812 46.28337458118086 0.0 1.0 0.0 -46.194242970961525 -6.546435919810525
-3.4511689439467332 -1.1779396844295942 -0.6738686449726203 45.12574164187239 0.0 1.0 0.0 -46.19275820958152 -6.521105955318117
-5.192270957562966 -1.6078162546531138 -0.6719001049200164 42.589507711148336 0.0 1.0 0.0 -46.16062780487207 -6.4632610286018375
