ps1__g,ps1__r,ps1__i,ps1__z,ps1__y
25.977903869128777,22.43726729415842,22.77849111809722,22.048377323001866,21.709814035867673
26.044866484311793,22.50054428952197,22.826920974262315,22.085212760403856,21.754614210392255
26.104796193421077,22.556160768530507,22.860264878170778,22.119952760538943,21.79434812873125
26.16140603433159,22.60101373394746,22.910697064131583,22.152980969142245,21.83082142392036
26.222465151647093,22.634522390713357,22.93018676113179,22.181135213222454,21.857809046957236
26.277510068307222,22.67277553967581,22.953040057193594,22.21124911395986,21.887961586888668
26.33268295128267,22.728292652963628,22.987568985785938,22.246624004610233,21.92820557699642
26.387777628266573,22.75101521556939,23.02341101292904,22.283293930266858,21.96675444901812
26.46099364518247,22.792052600332816,23.05902431552432,22.32434348127621,21.99987047493432
26.525189655585372,22.827851100845592,23.10651855178325,22.364684212453348,22.035055892809
26.58202714865365,22.866091588785263,23.12327592982106,22.402363019149394,22.078207331593724
26.632478748381516,22.896079073420974,23.17241162004694,22.44007019117789,22.119247386742998
26.69828107946605,22.95851659352348,23.203259675633454,22.475552563538926,22.15479132862706
26.749398624133605,22.985930716768284,23.239282014740766,22.509932369679674,22.190323032097425
26.814722476210534,23.05331645939701,23.255643654508148,22.534029753798094,22.225793314256755
26.872654836634535,23.07646617695113,23.29256114378755,22.559873391004903,22.259184135580334
26.944057216062454,23.12146561424832,23.316967945269816,22.59130387960893,22.280618554469715
27.013184551172408,23.151333113310884,23.343014947349864,22.62313763807082,22.30388320373961
27.066722290816656,23.17882949160363,23.381186688855117,22.651537406722117,22.339603889181006
27.120413925983044,23.210547604613083,23.425961025056836,22.680516137364627,22.374556637959273
27.197045361318608,23.267860503994555,23.458235826137003,22.71412551253549,22.40363327060033
27.262464551548376,23.26501677076009,23.50882565906374,22.747665048597653,22.432216981675538
27.326790589944387,23.32410867703742,23.521978959510406,22.77597210715484,22.46454598969835
27.374123326961538,23.32024047624065,23.56543834476215,22.80583387333593,22.495897573875663
27.44028395395647,23.397152407577195,23.577592559470958,22.837294342542727,22.52638517362268
27.49575861752247,23.40343909821672,23.613298288641726,22.8687824457312,22.556082742544078
27.55285439415676,23.486371691817354,23.625543950519816,22.888434297478035,22.584506262906764
27.598796375893656,23.514566635599472,23.67883968334559,22.90841146397371,22.612808407705742
27.65407046545846,23.56730457566013,23.680319844124796,22.936085676545062,22.638243320476718
27.690124956228523,23.619433707371844,23.72585290308899,22.964287284984344,22.66395925688817
27.740144153242763,23.67827121346231,23.757700738305346,22.99678578475168,22.702662626560866
27.781698351367044,23.710366210336574,23.806407668133424,23.03058043364675,22.74125635513781
27.857547113758972,23.749402962984465,23.815998942852445,23.059218365578904,22.761281473174254
27.90606358110189,23.755442341735147,23.844886848686436,23.088413018012112,22.781306591210694
27.982404094905615,23.835213777159748,23.87436111202017,23.110885532484723,22.80399458608418
28.04060914802838,23.890985902880168,23.904098184266864,23.133268268632776,22.82642826261295
28.117694451206116,23.939311216596273,23.93285865067198,23.160017849937134,22.860929233510138
28.17679118305517,23.94449270682754,23.996779867723372,23.188005934013688,22.895817848707587
28.21887134924999,24.016660319501142,24.02439665946403,23.211255572868218,22.91455791226726
28.256882094610408,24.02580839588223,24.053765686774618,23.234993344718422,22.931807012615295
28.303033594907255,24.084387663619665,24.06136681977674,23.26407077292658,22.961733349956244
28.337841742814632,24.11102388539939,24.09884674352738,23.293636358521304,22.991809486381975
28.39702960340645,24.160996683962978,24.130749141682124,23.31933877589973,23.019683328302754
28.416807484155783,24.180487171666332,24.178266916422512,23.34490578049385,23.04735865549162
28.501494198042202,24.2037325634609,24.18638103408901,23.37351001885202,23.076773933722016
28.529258433332174,24.1930481691848,24.215369021822305,23.4026329606589,23.105843262575796
28.622786809115563,24.281201100063733,24.234797754664434,23.428727158421765,23.13234093711744
28.642965235389724,24.28207732267827,24.26432158319988,23.454922827909893,23.158494805825313
28.730240710061032,24.37516970027852,24.291925100495355,23.483633390103137,23.18779609667218
28.77788291030008,24.395712760200063,24.329425200557413,23.513689481818894,23.217514003838296
28.833544782041116,24.45187413940548,24.343984756226735,23.538019672598416,23.24882835182496
28.880980029433715,24.517541307755522,24.36771180099806,23.56125576017797,23.28038909842678
28.940775769485207,24.57135844183494,24.392119118495827,23.587629522539622,23.30690671894333
28.983308186522148,24.515426685906974,24.431700397334005,23.61492162308091,23.33236002587215
29.03578656648623,24.609544567788568,24.45677532102303,23.640858901697822,23.355370104404717
29.07939782949283,24.614149565529523,24.483619951307602,23.66666720253423,23.377662484232907
29.13290472240599,24.687020880373773,24.514802221493504,23.6929851896238,23.404954000875286
29.16961261469664,24.68654587230377,24.554091704011118,23.71945550017627,23.433454719281045
29.219822334553598,24.797649443376045,24.58266438790422,23.745485351237235,23.462996467547633
29.242045192551583,24.770168715462855,24.6156418471731,23.771412065762476,23.492405139621752
29.312428655398527,24.86733104307542,24.636024313918526,23.80489048730832,23.51984187609696
29.36760643308451,24.85701884570645,24.67037555640463,23.840833623059375,23.546475208018816
29.433323861030075,24.947444029415664,24.699167924015967,23.87025103388219,23.571185468347334
29.467407271770156,24.961932662135467,24.741906928858086,23.897655697314654,23.594614785480687
29.53537610649431,25.02276805775409,24.769941098647585,23.929366143778225,23.626122219089083
29.584824187906904,25.027170757233407,24.804717489000147,23.96272018673077,23.660895844576977
29.619994583864653,25.111201880512507,24.82929486807303,23.990281391066738,23.691419710561355
29.650426543554524,25.19852278856371,24.860931941209067,24.015915836514203,23.719887375860328
29.71492034310461,25.254718554915318,24.875768036028504,24.03975678456966,23.743751215833655
