log10_mej log10_vej log10_Xlan luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-1.963571378152245 -0.7114543031227436 -3.400035850355441 18.62245372133762 0.0 1.0 0.0 -167.1098101667754 -8.917005265880746
-1.7656056685598163 -0.6928026416014532 -3.3787381105126917 25.963582232378016 0.0 1.0 0.0 -167.09700126260094 -9.24933209668699
-1.9207873265796551 -0.6832422919668761 -3.3217125942166135 18.53930482602042 0.0 1.0 0.0 -166.9972301022209 -8.912530287444573
-1.7042266691048042 -0.6855695743629586 -3.188401072282704 24.69549715059786 0.0 1.0 0.0 -166.96635791672855 -9.199258149329253
-2.042114432547408 -0.6946137755403241 -3.3493553709230843 17.3201605459721 0.0 1.0 0.0 -166.9405158696126 -8.844508396398762
-1.662026512188652 -0.6998837330227239 -3.1345339139746002 23.349707769681633 0.0 1.0 0.0 -166.84036556507434 -9.143221692729036
-1.6076018648888604 -0.7034490294380811 -3.3910658209240356 30.416920572794865 0.0 1.0 0.0 -166.7747408070024 -9.407636275267892
-2.0491337558186595 -0.694865718629192 -3.4220323334542435 15.70803104541577 0.0 1.0 0.0 -166.71770319117 -8.746809337031246
-1.7377194681973123 -0.6942224068582368 -3.1487326937154174 25.450938639801112 0.0 1.0 0.0 -166.7082585320211 -9.22938984794699
-1.5740989603966438 -0.6879663546799388 -3.104227104266899 27.367830963545707 0.0 1.0 0.0 -166.64140366071996 -9.30200549513873
-1.5404469458733634 -0.6906734394396736 -3.084786623426665 28.672688362171165 0.0 1.0 0.0 -166.59679719857746 -9.348582268581076
-1.8249844350122166 -0.6987032144198491 -3.4941398374581603 23.01442155957488 0.0 1.0 0.0 -166.5939456436695 -9.128758267670378
-1.647570459835198 -0.6953785791527165 -3.327279994478424 29.30455555567962 0.0 1.0 0.0 -166.54061588113896 -9.370380207562837
-2.0448617560825175 -0.6924477502555735 -3.0434289486322488 14.571304909388408 0.0 1.0 0.0 -166.51967585145692 -8.671691401491852
-2.126048443648781 -0.7193465509990049 -3.217176047332055 15.143778917143539 0.0 1.0 0.0 -166.4989343468663 -8.710227039000479
-1.994509396765725 -0.6903873856294125 -3.3961113607954108 17.602936046242217 0.0 1.0 0.0 -166.44070912289263 -8.860702932849785
-2.0249091259944105 -0.7184860722689206 -3.271592957095046 17.02238183965641 0.0 1.0 0.0 -166.41851106610187 -8.827166280839128
-1.8971253096358511 -0.6998420926884339 -3.475805018027721 21.247558450903657 0.0 1.0 0.0 -166.37765289463934 -9.048879216250768
-1.7498748923935992 -0.6832586570145613 -3.280024472962288 22.221505769725162 0.0 1.0 0.0 -166.3350918204312 -9.093697772239224
-1.7338328149960787 -0.6905998664119761 -3.090800552245013 23.718279039220075 0.0 1.0 0.0 -166.33401614506053 -9.158883242254312
-1.7468966543018167 -0.6886444409443659 -3.2814647949123517 25.185491898638094 0.0 1.0 0.0 -166.31106246642412 -9.218905334329452
