log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-2.598510889068791 0.16179680385285056 0.1604351459476745 -0.9236067244263761 0.0356216230011269 0.13694372804196298 80.95752577268792 0.0 0.25 0.0 -87.62047988744376 -2.291897212682268
-2.228843336496559 0.19090200833965865 0.15224721695853044 -0.9017277671751995 0.03263775336298145 0.16427684713556004 84.88031124778986 0.0 0.25 0.0 -87.49877447276421 -2.1112885261447634
-2.102811599408835 0.16202527092169722 0.1519192818248304 -0.9370950478290643 0.0341945158074255 0.12117996211007151 74.75056839974188 0.0 0.25 0.0 -87.41209287173771 -2.4135116550648896
-2.2288151751230165 0.15611513681327535 0.15360245898713748 -0.8979597098595853 0.03320751625791323 0.36221197854363285 75.79462252710843 0.0 0.25 0.0 -87.38339093038866 -1.3380728237340431
-2.393016162347987 0.15351861144208132 0.1510136297153837 -0.9792522893545965 0.0323186320842596 0.30313196333058673 70.056507461827 0.0 0.25 0.0 -87.24372675429767 -1.5095335386154787
-2.218140808277371 0.18242012144004738 0.1539109554500236 -0.9400535490364417 0.03391338677568013 0.14300347722056886 82.17643892515613 0.0 0.25 0.0 -87.22866995627605 -2.248881468860762
-2.5044513173383613 0.16298952881064205 0.1555237684339375 -0.9779261210768642 0.03464191961731218 0.20173194945216852 77.48521644559538 0.0 0.25 0.0 -87.22735123916925 -1.908191777564717
-2.475461474286792 0.17713939029085546 0.15101331741068594 -1.0051166831735965 0.030768264100325158 0.2804092444286713 75.40024271190859 0.0 0.25 0.0 -87.18211454147381 -1.5852290437855947
-2.2561171013557377 0.17696199484541383 0.15137901744460816 -0.935178833485881 0.035707004000413066 0.17250332865218623 77.50773896506044 0.0 0.25 0.0 -87.0828290902962 -2.0628877186242134
-2.375391205004224 0.16551670374297947 0.1540489272588587 -0.959030164898516 0.03203531115118524 0.2684973571976857 74.16745455914464 0.0 0.25 0.0 -87.0796874903864 -1.6275428292636311
-2.5955895745020645 0.15844370121587817 0.15476187570442596 -0.9087578467739579 0.035385447429879736 0.29437302910227114 79.74520300732756 0.0 0.25 0.0 -87.07597220675585 -1.5379765154124367
-2.351848220811873 0.16259396324238518 0.15195232370946812 -0.894833751757921 0.03440620352735256 0.3523736943728575 77.29388777970738 0.0 0.25 0.0 -87.07409855992749 -1.3644283831876258
-2.304535291969498 0.18156608306586833 0.15065281328519664 -0.9732577559415936 0.03272313271123612 0.17121448205169157 80.3632792908189 0.0 0.25 0.0 -86.99694727643276 -2.070313220842861
-2.5444539043871055 0.16167409600165406 0.1502934870041426 -1.028264282253824 0.030389254671874873 0.22980557004329827 71.54082110992867 0.0 0.25 0.0 -86.98138717408037 -1.7799234655411742
