log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind inclination_EM luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-2.879060022763358 0.144378759347334 0.29831771437032617 -1.3082220594231866 0.030550802819639362 0.4033946042067954 43.167272449843836 0.0 1.0 0.0 -171.3515374817294 1.751621836977781
-2.6061007754612295 0.15302752351657217 0.2658748161514363 -1.2118830628415371 0.030779473510000675 0.4157445559152343 46.55408937356666 0.0 1.0 0.0 -171.33991265696207 1.7045401666074969
-2.768899447330178 0.1312835530601048 0.2880075037907812 -1.287355935767796 0.03103834191601605 0.3804252008886906 43.76995249847744 0.0 1.0 0.0 -171.21889006057995 1.6821630792142632
-2.735906869985992 0.1250800340774546 0.23299731007003235 -1.1362119364131256 0.031071587607184897 0.362997153285329 47.4858635846375 0.0 1.0 0.0 -171.1822854982281 1.5559635700404941
-2.6102136346756084 0.12282868739718433 0.28438932102372594 -1.2116238176362244 0.03046662282597359 0.4084202156528752 44.71936662384618 0.0 1.0 0.0 -171.13554069254 1.727991566389123
-2.746435513402255 0.1488815905273778 0.27470482359753884 -1.1370982985700275 0.03138828548216287 0.40441012829898726 46.72288229958312 0.0 1.0 0.0 -171.09307804634383 1.6748464810357864
-2.7789079563131205 0.2373352726120042 0.29534296749130007 -1.2009609804577552 0.03052984925929378 0.392790666201233 45.4770513233073 0.0 1.0 0.0 -171.0711053785846 1.6742804088309118
-2.9849806038295665 0.12635081199627726 0.26897576504215726 -1.0883685111277261 0.031743725052765015 0.4029318428398286 47.718642812942356 0.0 1.0 0.0 -170.99221605631362 1.65029735422806
-2.7623267006624945 0.22505714512451275 0.27423784505352033 -1.1751601548151192 0.031008380089214447 0.3837654474715976 47.13620472357875 0.0 1.0 0.0 -170.9841137794828 1.6163816067096608
-2.2978117583923034 0.139909727205553 0.27437813357298874 -1.3298659186975383 0.030121561820231745 0.41551491680066366 47.062650011726554 0.0 1.0 0.0 -170.92572404434782 1.6931550010727632
-2.574706397485238 0.12031637342529594 0.2923580491583918 -1.2009451109712574 0.03196595543986369 0.4033541053025056 46.18805034002808 0.0 1.0 0.0 -170.91955919061078 1.6838884540649324
