log10_Xlan log10_mej log10_vej luminosity_distance em_syserr timeshift Ebv log_likelihood log_prior
-3.7966438868929018 -2.5659193492818213 -1.647183296356292 7.187407016708304 0.8909771362623077 0.0 0.0 -182.46915284425782 -9.516920472683784
-3.884607093735686 -3.0252154861048637 -1.7622832922296296 4.3585020572191695 0.8930795676575722 0.0 0.0 -182.46036865915812 -9.019075348967288
-3.953879437947055 -2.42257608327134 -1.716187279197393 8.942449795110026 0.9318175223776468 0.0 0.0 -182.38735345626012 -9.780217819090215
-3.7187002778994485 -2.811765055871702 -1.778176092494917 5.796577744938473 1.031081663225569 0.0 0.0 -182.34451565499367 -9.44790262516507
-3.6565492369383845 -2.8159496914439273 -1.6262331178246279 5.399096080703553 0.9701867838077387 0.0 0.0 -182.28098036860865 -9.315991397751615
-4.0483103764784225 -2.735372760320142 -1.7549874636374045 6.585844714575188 1.0375775168326582 0.0 0.0 -182.24744396845753 -9.58183780696945
-3.7499900551582215 -2.7218737784485247 -1.6967275363487981 5.800346013520928 0.713835035411506 0.0 0.0 -182.21297189732815 -9.08084070314942
-3.680337043313065 -2.724684296449974 -1.6441781690506203 6.220007000429462 0.7544583535241074 0.0 0.0 -182.2077956315546 -9.206042348524901
-3.535689854855269 -2.777311749724102 -1.79704140498785 5.534728674419609 0.9369636729506743 0.0 0.0 -182.17975523002164 -9.305958294006688
-4.13823593106588 -2.639949932812392 -1.752278534389425 6.1644041319374026 0.860881205674543 0.0 0.0 -182.17481115882836 -9.329019238043184
-3.6958778274597126 -3.1869977106225797 -1.6256248789683128 3.78723205116179 0.9277786627405508 0.0 0.0 -182.17302112449113 -8.916699854194203
-4.147866680773726 -2.5698190578214346 -1.737235411128192 7.92866523792316 0.9898853308316562 0.0 0.0 -182.15125240154677 -9.720345049483385
-3.665702564632764 -2.7660531769508285 -1.7506583058689529 5.941040459751801 1.0366070734727526 0.0 0.0 -182.15065812715144 -9.477863746135524
-3.615838199210285 -2.723354997262815 -1.758078599220215 6.422096403598869 0.763841175573608 0.0 0.0 -182.1385490008168 -9.25037572626441
-3.634514818357255 -3.007382769159137 -1.7138795790720027 4.879828203422706 0.9090651449751619 0.0 0.0 -182.13741627170975 -9.149798010346434
-3.9660373634732897 -2.409866336127005 -1.7675281388360458 8.543632585668938 0.9750166157635475 0.0 0.0 -182.12835445555498 -9.779912028409779
-4.0819695683780735 -2.538859135629749 -1.7230097438602419 8.429200457366296 0.8190984970919887 0.0 0.0 -182.10577224844442 -9.592177501360888
-3.514245899544208 -2.7857763472332318 -1.7611755482947078 5.5645375741903225 0.9336156221781414 0.0 0.0 -182.1035263269967 -9.307749937059556
-4.26742084067216 -2.5539248239692545 -1.7982517214503462 7.120590970767318 0.9500718790110662 0.0 0.0 -182.01662716279577 -9.571799604409806
-3.8137843762136265 -3.120251544178409 -1.6738852161241358 4.375038448739736 0.8115265946994272 0.0 0.0 -182.01300733723093 -8.927103703813666
-3.8533708429250675 -2.683796027008451 -1.7260445595000435 7.289087868965162 0.7949535463793648 0.0 0.0 -181.991456566991 -9.416933335125758
-3.813891335710677 -2.6512412126481166 -1.7018331247403369 7.006128779282933 0.693539689075538 0.0 0.0 -181.95783297449196 -9.240865011179242
-4.257133775319175 -2.679841027348998 -1.749637310208479 6.352915403649767 0.8005014013326087 0.0 0.0 -181.95458241563637 -9.286423346302588
-3.9111324793019566 -2.802594989690737 -1.631844745215607 5.261721417008818 0.8454708813000781 0.0 0.0 -181.8921782140807 -9.152623203993919
-3.788868307696214 -2.7717681254078506 -1.7859638300264016 5.200761497618744 0.9096663796082778 0.0 0.0 -181.868041727268 -9.214154210260217
-3.6740842650872017 -2.8878457753772726 -1.6634383727065278 5.648169298642501 0.9399945639139391 0.0 0.0 -181.86501620431582 -9.329476803959693
-4.076968557518619 -2.7046521585712573 -1.6761881232534275 6.845322431256675 1.001918316677155 0.0 0.0 -181.85407415002226 -9.58550855737882
-4.086335150245884 -2.7356088964494347 -1.668049316012649 5.85136240404228 0.9433794579219208 0.0 0.0 -181.84755038407698 -9.368414356875329
-4.007841358388367 -2.8615344698537153 -1.7243734220492397 5.3841307098149915 0.6875535814055616 0.0 0.0 -181.84242328485647 -8.968866869664792
-3.9460746860270826 -2.669302491426567 -1.7438730145235932 5.802464704146045 0.8865437277508852 0.0 0.0 -181.83081554895202 -9.297884463928545
-3.762485051314597 -2.8312427347261906 -1.6558078670965504 5.979614344290436 1.009182705956877 0.0 0.0 -181.8255067592711 -9.45752339226213
-3.891710135374547 -2.500858560735817 -1.745788584613248 8.705699412896593 0.906658545855877 0.0 0.0 -181.82198730707324 -9.72601506697766
-3.79933168905867 -2.8625596418094332 -1.7115567437158652 4.883593187275744 1.014336683075095 0.0 0.0 -181.78731158641725 -9.260142658490146
-3.8815937240581375 -2.8277077475447188 -1.6974193762097094 5.139639283752002 1.0308000108391404 0.0 0.0 -181.78275205577492 -9.327344625108408
-4.173281212951368 -2.4482750437221052 -1.7818046923066242 8.813271560387125 0.8310236451051363 0.0 0.0 -181.7725335922098 -9.651188202573852
