log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind inclination_EM luminosity_distance em_syserr timeshift Ebv log_likelihood log_prior
-2.3565880523226768 0.23014357489942533 0.2336366995712753 -1.0145287714307585 0.0314703057904465 0.23486715221807086 72.0291114145762 0.49264776545413436 0.0 0.0 -125.94293630122425 -3.523614561096018
-2.3399760417579465 0.2167538634249238 0.2361433524327491 -1.102892025347548 0.03229856810917457 0.15553463027765024 72.6239939993436 0.5513267860227125 0.0 0.0 -125.9360440030381 -4.051348826440589
-2.031887958164609 0.20684527746125353 0.2514086499123734 -0.9909695928480986 0.03514958116827689 0.2539690816503178 86.98244040532627 0.566568417702605 0.0 0.0 -125.84921548964974 -3.77542390123529
-2.127545622264164 0.22540651330474964 0.24889980829290537 -0.9578139318835301 0.034112593884736496 0.22196251691506214 82.64386155478086 0.6171486585300249 0.0 0.0 -125.79540177474793 -3.94192578094557
-2.1688765903196043 0.22438747109422055 0.2579381997216876 -1.1315832311265228 0.030264683756025722 0.41875731044268727 73.33306177732327 0.4883613833636209 0.0 0.0 -125.78072186433678 -2.9747337971928007
-2.370777424314791 0.23329494520863028 0.24977202850118335 -0.9906747640279128 0.03203635496568588 0.18081087043879598 82.79840499811831 0.48463231825902675 0.0 0.0 -125.64615207958575 -3.9043615048350997
-2.416351394046918 0.18055010192028337 0.24944392134253315 -0.9718672610749435 0.030918372035184945 0.208367850680896 79.03577725410317 0.604118699581841 0.0 0.0 -125.62884543708556 -3.9381720605611337
-2.2564108924566977 0.1739578095263192 0.2464667231793874 -1.0632965586660523 0.031087489234903933 0.3575787637572357 75.06270218918709 0.6420141274820211 0.0 0.0 -125.59943945113744 -3.42153951482135
-2.1203270601940756 0.17714750557928788 0.24972354364475552 -1.0535189848985216 0.031164632042836638 0.12356565476777144 81.78789325267265 0.7048411192580217 0.0 0.0 -125.56014755366336 -4.6444341207633
-2.194744845744147 0.19270664392620557 0.24146430608631192 -1.0171818571598594 0.031221723428658504 0.3028011011302466 84.90724201237067 0.673682146454272 0.0 0.0 -125.47333917673203 -3.753129103415535
-2.1979461827048197 0.1883328192934578 0.23973675011432116 -1.0352987672608958 0.03252425629902997 0.3142454943438335 82.41991505803055 0.5456820035720423 0.0 0.0 -125.45851163711063 -3.4767609388658554
-2.315646715414732 0.23853121063957944 0.2507264838517728 -0.9852290769764578 0.03250546885144433 0.4515895222282759 80.75853010147958 0.5651884027962198 0.0 0.0 -125.4567772010618 -3.1466310981899603
-2.059957558924144 0.184977023598495 0.2547413657445924 -1.0266960131150196 0.03149344921580988 0.441970028565543 86.72392106448203 0.5336744236752314 0.0 0.0 -125.44195154048481 -3.180603609940118
-1.9779596257003866 0.17986079807901081 0.25626277547667037 -1.0222320606285693 0.03136803675454995 0.2132614438452073 93.39189598430796 0.5827647324236574 0.0 0.0 -125.39256664443995 -4.046219951436401
-2.332584665505907 0.19176319631070352 0.23696586138925757 -0.9636914628585882 0.032520529098681875 0.1500692846186449 84.83441452630059 0.6610691643487756 0.0 0.0 -125.37304995573147 -4.423778032790825
-2.08034933580819 0.20037851996610712 0.22715461402108006 -0.9850516663593964 0.03293043561649931 0.15009810460660886 86.85451587261473 0.46458857766257644 0.0 0.0 -125.36914885123313 -4.094414410483933
-2.198410926901456 0.23167692163679604 0.23159324156811606 -0.9649960465113783 0.03282623177373197 0.2291496081105485 84.99007769097014 0.6771295807267402 0.0 0.0 -125.33776821364955 -4.0313481030856435
-2.172922256174651 0.21193611573388682 0.23746576312139772 -0.9666003195732964 0.03375310658038671 0.19162551254250795 79.73836004774738 0.6141299111969668 0.0 0.0 -125.28404917417734 -4.046100884302719
-2.151369600269732 0.17139664300092539 0.2149372442965317 -1.0058669719563578 0.030472514889417313 0.13665505394687355 83.08580351876407 0.5933577112954752 0.0 0.0 -125.27992020706554 -4.387884837271132
-2.1897385775202083 0.22069793678042202 0.23628441696043573 -0.9554467486559661 0.03271214570300505 0.18980972159925302 92.0848204724385 0.5394974893462184 0.0 0.0 -125.2628708369357 -4.069897057741212
-2.041994529121417 0.2252498417456506 0.24368914961823246 -1.0215908082344007 0.03305451077147956 0.2835923677932451 83.55914088938337 0.5516331953165827 0.0 0.0 -125.17094227952379 -3.6008993892809626
-2.40386197917469 0.1881315235387498 0.27521918907226717 -1.150422663078361 0.030149718856936538 0.1430364012419907 68.85730228810277 0.6089742444376599 0.0 0.0 -125.15137971060824 -4.180684402632046
-2.026332338583308 0.19096701703913035 0.2503299121466054 -1.0165265816534483 0.032024718946560234 0.4136412605257921 88.18194583184234 0.5662064322009309 0.0 0.0 -125.14218794214992 -3.31860191349132
-2.3978254387051092 0.2344223460026129 0.2550369356861515 -1.0833232856889223 0.0304110347882333 0.2656751571357098 70.27758612968341 0.45648397525538736 0.0 0.0 -125.08819560995201 -3.302082915942705
-2.2837176010560603 0.18767330319126568 0.2711726079212013 -1.0357997232109573 0.031246744510002367 0.37226057206026436 77.6510650078997 0.6290316197002416 0.0 0.0 -125.06867733915706 -3.396575745956608
